field	source_line	owner	type	referencing_files
leader_active	886	pane_input	bool	src/main.rs, src/handlers/view.rs, src/handlers/normal.rs, src/app/view.rs, src/app/mod.rs, src/ui/pane.rs, src/ui/dashboard.rs
leader_activated_at	887	pane_input	Option<Instant>	src/main.rs, src/app/view.rs, src/app/mod.rs
last_view_activity_at	888	pane_input	Option<Instant>	src/main.rs, src/app/mod.rs
view_input_batch	889	pane_input	Option<ViewInputBatch>	src/app/mod.rs
pending_inputs	890	attention_notifications	Vec<PendingInput>	src/handlers/diff_review.rs, src/handlers/picker.rs, src/app/view.rs, src/app/tests.rs, src/app/sync.rs, src/app/attention.rs, src/app/notifications.rs, src/app/mod.rs, src/ui/dashboard.rs, src/ui/list.rs
user_stopped_features	897	hooks_lifecycle	std::collections::HashSet<String>	src/app/session_ops.rs, src/app/tests.rs, src/app/sync.rs, src/app/feature_ops.rs, src/app/mod.rs
compose_direct_targets	900	pane_input	std::collections::HashSet<String>	src/handlers/view.rs, src/app/compose.rs, src/app/tests.rs, src/app/mod.rs
compose_drafts	902	pane_input	HashMap<String, ComposeDraft>	src/app/compose.rs, src/app/mod.rs
compose_clipboard_paste	903	pane_input	Option<ComposeClipboardPaste>	src/app/compose.rs, src/app/mod.rs
compose_submit	904	pane_input	Option<ComposeSubmit>	src/app/compose.rs, src/app/tests.rs, src/app/mod.rs
next_compose_clipboard_paste_id	905	pane_input	u64	src/app/compose.rs, src/app/mod.rs
latest_prompt_cache	906	status_sidebar	HashMap<String, String>	src/handlers/view.rs, src/app/tests.rs, src/app/notifications.rs, src/app/mod.rs
sidebar_model_cache	907	status_sidebar	HashMap<String, String>	src/app/pr_review.rs, src/app/tests.rs, src/app/mod.rs, src/ui/dashboard.rs
sidebar_plan_cache	908	status_sidebar	HashMap<String, String>	src/app/mod.rs, src/ui/dashboard.rs
sidebar_effective_plan_cache	915	status_sidebar	HashMap<String, String>	src/app/tests.rs, src/app/mod.rs, src/ui/dashboard.rs
codex_session_title_cache	916	status_sidebar	HashMap<String, Option<String>>	src/app/sync.rs, src/app/mod.rs
codex_session_prompt_cache	917	status_sidebar	HashMap<String, Option<String>>	src/app/sync.rs, src/app/mod.rs
codex_session_model_cache	918	status_sidebar	HashMap<String, Option<String>>	src/app/sync.rs, src/app/mod.rs
codex_live_threads	919	status_sidebar	HashMap<String, CodexLiveThreadState>	src/app/mod.rs
codex_sidebar_metadata_tx	920	status_sidebar	std::sync::mpsc::Sender<CodexSidebarMetadataResult>	src/app/tests.rs, src/app/mod.rs
codex_sidebar_metadata_rx	921	status_sidebar	std::sync::mpsc::Receiver<CodexSidebarMetadataResult>	src/app/sync.rs, src/app/mod.rs
codex_sidebar_metadata_inflight	922	status_sidebar	std::collections::HashSet<String>	src/app/tests.rs, src/app/sync.rs, src/app/mod.rs
opencode_sidebar_cache	923	status_sidebar	HashMap<String, opencode_storage::OpencodeSidebarData>	src/app/pr_review.rs, src/app/tests.rs, src/app/sync.rs, src/app/mod.rs, src/ui/dashboard.rs
active_todos_sidebar_cache	929	todos	HashMap<String, String>	src/app/tests.rs, src/app/todos.rs, src/app/mod.rs, src/ui/dashboard.rs
sidebar_load_tx	930	status_sidebar	Sender<SidebarLoadResult>	src/app/tests.rs, src/app/mod.rs
sidebar_load_rx	931	status_sidebar	Receiver<SidebarLoadResult>	src/app/mod.rs
learning_answer_tx	935	learning	Sender<learning::LearningAnswer>	src/handlers/learning.rs, src/app/learning.rs, src/app/mod.rs
learning_answer_rx	936	learning	Receiver<learning::LearningAnswer>	src/app/learning.rs, src/app/mod.rs
learning_runs_in_flight	940	learning	std::collections::HashSet<String>	src/app/learning.rs, src/app/mod.rs
sidebar_load_executor	941	status_sidebar	Option<SidebarLoadExecutor>	src/app/mod.rs
sidebar_load_signatures	942	status_sidebar	HashMap<String, u64>	src/app/tests.rs, src/app/mod.rs
pending_sidebar_loads	943	status_sidebar	std::collections::HashSet<String>	src/app/tests.rs, src/app/mod.rs
usage	944	context_usage	UsageManager	src/headless.rs, src/context_collectors.rs, src/context_tracking.rs, src/usage.rs, src/token_tracking.rs, src/fswatch.rs, src/main.rs, src/db/token_cache.rs, src/db/migrations.rs, src/app/compose.rs, src/app/automation.rs, src/app/pr_review.rs, src/app/tests.rs, src/app/fix_cost.rs, src/app/state.rs, src/app/sync.rs, src/app/context_hints.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/mod.rs, src/ui/status.rs, src/ui/pane.rs, src/ui/dashboard.rs, src/ui/picker.rs, src/ui/list.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/ai_review.rs
token_tracker	945	context_usage	SessionTokenTracker	src/app/sync.rs, src/app/mod.rs
context_states	947	context_usage	HashMap<String, SessionContextState>	src/handlers/view.rs, src/app/tests.rs, src/app/sync.rs, src/app/context_hints.rs, src/app/mod.rs, src/ui/dashboard.rs, src/ui/list.rs
context_hint_states	949	context_usage	context_hints::ContextHintStates	src/handlers/view.rs, src/app/tests.rs, src/app/sync.rs, src/app/context_hints.rs, src/app/mod.rs, src/ui/dashboard.rs
context_collector	950	context_usage	SessionContextCollector	src/app/tests.rs, src/app/sync.rs, src/app/mod.rs
session_status_bg	951	status_sidebar	Option<Receiver<sync::SessionStatusBgResult>>	src/main.rs, src/app/sync.rs, src/app/mod.rs
active_pr_bg	955	status_sidebar	Option<Receiver<sync::ActivePrSweep>>	src/main.rs, src/app/tests.rs, src/app/sync.rs, src/app/mod.rs
gh_graphql_limited_at	960	status_sidebar	Option<Instant>	src/app/sync.rs, src/app/mod.rs
active_prs	961	status_sidebar	HashMap<String, ActivePrStatus>	src/app/tests.rs, src/app/sync.rs, src/app/feature_ops.rs, src/app/mod.rs, src/ui/dashboard.rs, src/ui/list.rs
terminal_prs	968	status_sidebar	HashMap<String, crate::github::TerminalPr>	src/github.rs, src/app/tests.rs, src/app/sync.rs, src/app/feature_ops.rs, src/app/mod.rs
confirmed_no_terminal_pr	978	status_sidebar	HashSet<String>	src/app/tests.rs, src/app/sync.rs, src/app/feature_ops.rs, src/app/mod.rs
pr_review_bg	980	pr_triage	Option<Receiver<Result<pr_review::PrReview>>>	src/main.rs, src/app/pr_review.rs, src/app/tests.rs, src/app/mod.rs
latest_prompt_menu_bg	985	pane_input	Option<Receiver<view::LatestPromptScanResult>>	src/main.rs, src/app/view.rs, src/app/mod.rs
pr_investigation_bg	990	pr_triage	Option<Receiver<pr_review::InvestigationOutcome>>	src/main.rs, src/app/pr_review.rs, src/app/tests.rs, src/app/mod.rs
plan_interview_ai_bg	995	plans	Option<Receiver<(usize, Result<String>)>>	src/main.rs, src/app/tests.rs, src/app/mod.rs, src/app/plan_interview.rs
plan_interview_synthesis_bg	999	plans	Option<Receiver<Result<String>>>	src/main.rs, src/app/tests.rs, src/app/mod.rs, src/app/plan_interview.rs
