field	source_line	owner	type	referencing_files
tmux	1111	app_infrastructure	Box<dyn TmuxOps>	src/tmux.rs, src/summary.rs, src/hook_payload.rs, src/upgrade.rs, src/traits.rs, src/tmux_observer.rs, src/project.rs, src/main.rs, src/github.rs, src/plan_interview.rs, src/handlers/view.rs, src/handlers/mouse.rs, src/handlers/input.rs, src/handlers/diff.rs, src/handlers/picker.rs, src/db/editors.rs, src/db/todos.rs, src/prompts/defaults.rs, src/prompts/mod.rs, src/app/compose.rs, src/app/view.rs, src/app/session_ops.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/tests.rs, src/app/remote_control.rs, src/app/codex_session_picker.rs, src/app/switcher.rs, src/app/state.rs, src/app/resource_gate.rs, src/app/steering.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/handoff.rs, src/app/attention.rs, src/app/notifications.rs, src/app/editor_ops.rs, src/app/opencode.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/pane.rs, src/ui/picker.rs, src/ui/dialogs/config_wizard.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/help.rs, src/ui/dialogs/session.rs, src/resources/limits.rs, src/resources/doctor.rs
worktree	1112	app_infrastructure	Box<dyn WorktreeOps>	src/headless.rs, src/diff.rs, src/traits.rs, src/token_tracking.rs, src/markdown.rs, src/project.rs, src/main.rs, src/prompt_library.rs, src/github.rs, src/worktree.rs, src/handlers/view.rs, src/handlers/pr_review.rs, src/handlers/dialog.rs, src/handlers/feature_creation.rs, src/handlers/diff.rs, src/handlers/diff_review.rs, src/handlers/todos.rs, src/db/prompt_overrides.rs, src/db/pr_terminal_state.rs, src/db/migrations.rs, src/db/todos.rs, src/db/mod.rs, src/app/view.rs, src/app/session_ops.rs, src/app/review_destination.rs, src/app/automation.rs, src/app/triage_feature.rs, src/app/skill_picker.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/tests.rs, src/app/plan.rs, src/app/codex_session_picker.rs, src/app/state.rs, src/app/util.rs, src/app/hooks.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/handoff.rs, src/app/attention.rs, src/app/ai_review.rs, src/app/editor_ops.rs, src/app/opencode.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/setup.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/header.rs, src/ui/picker.rs, src/ui/list.rs, src/ui/dialogs/review_destination.rs, src/ui/dialogs/config_wizard.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/diff.rs, src/ui/dialogs/dormant.rs, src/ui/dialogs/help.rs, src/ui/dialogs/todos.rs, src/resources/procs.rs, src/resources/doctor.rs
debug_log	1113	app_infrastructure	DebugLog	src/perf.rs, src/handlers/dialog.rs, src/db/migrations.rs, src/db/debug_log.rs, src/db/mod.rs, src/app/tests.rs, src/app/learning.rs, src/app/mod.rs, src/ui/dashboard.rs, src/ui/dialogs/debug.rs
pending_debug_log_entries	1114	app_infrastructure	VecDeque<LogEntry>	src/app/mod.rs
last_debug_log_flush_at	1115	app_infrastructure	Instant	src/app/mod.rs
perf	1116	app_infrastructure	PerfCollector	src/main.rs, src/perf.rs, src/handlers/view.rs, src/app/steering.rs, src/app/mod.rs, src/ui/dialogs/debug.rs
background_deletions	1117	hooks_lifecycle	HashMap<String, BackgroundDeletion>	src/main.rs, src/app/tests.rs, src/app/feature_ops.rs, src/app/mod.rs
background_hooks	1118	hooks_lifecycle	HashMap<String, BackgroundHook>	src/main.rs, src/app/hooks.rs, src/app/mod.rs
ipc	1119	app_infrastructure	Option<crate::ipc::IpcGuard>	src/ipc.rs, src/main.rs, src/handlers/diff_review.rs, src/app/tests.rs, src/app/commands.rs, src/app/sync.rs, src/app/notifications.rs, src/app/mod.rs
fs_watcher	1122	app_infrastructure	Option<crate::fswatch::FsWatcher>	src/main.rs, src/app/mod.rs
